"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12456792,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
12487321,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
12536826,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
12566723,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
12616685,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
12646910,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
12696815,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
12726720,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
12776864,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
12806602,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
12856717,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
12886718,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
12936664,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
12966769,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
13017402,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
13046826,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
13096812,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
13126709,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
13176670,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
13206617,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
13256825,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
13296738,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
13336732,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
13376725,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
13416822,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
13446735,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
13496728,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
13526753,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
13576691,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
13606708,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
13656956,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
13686781,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
13736790,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
13766703,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
13816665,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
13846953,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
13896753,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
13926818,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
13976675,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
14006781,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
14056893,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
14086695,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
14136656,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
14166817,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
14216674,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
14246835,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
14296731,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
14326757,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
14376718,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
14406759,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
14456832,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
14486792,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
14536595,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
14566700,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
14616662,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
14646822,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
14696695,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
