Time [s],Channel 7
2.415887688,1
2.416157688,0
2.416198750,1
2.416573812,0
2.416612312,1
2.417099000,0
2.417141313,1
2.417308563,0
2.417349625,1
2.417833875,0
2.417871813,1
2.418252750,0
2.418292812,1
2.418672750,0
2.418710000,1
2.418882125,0
2.418920000,1
2.419405063,0
2.419447562,1
2.419614563,0
2.419654875,1
2.420034625,0
2.420072563,1
2.420661625,0
2.420705063,1
2.422025750,0
2.422065687,1
2.422759375,0
2.422800313,1
2.462203812,0
2.462247188,1
2.464639437,0
2.464679438,1
2.464847563,0
2.464886375,1
2.465055500,0
2.465096125,1
2.465263563,0
2.465304812,1
2.465471562,0
2.465511500,1
2.465783437,0
2.465824625,1
2.466095437,0
2.466136313,1
2.466407438,0
2.466448250,1
2.466615562,0
2.466654625,1
2.466927375,0
2.466969687,1
2.467135563,0
2.467174750,1
2.467655500,0
2.467696250,1
2.468071375,0
2.468110687,1
2.468110750,0
2.468112688,1
2.469215250,0
2.469259125,1
2.469735375,0
2.469776500,1
2.470047563,0
2.470086375,1
2.492452563,0
2.492496500,1
2.494872500,0
2.494915000,1
2.495080563,0
2.495121688,1
2.495288687,0
2.495328063,1
2.495496625,0
2.495535438,1
2.495704625,0
2.495743125,1
2.496016500,0
2.496058437,1
2.496328375,0
2.496372125,1
2.496744688,0
2.496782937,1
2.497289312,0
2.497330750,1
2.497496062,0
2.497534313,1
2.497534375,0
2.497535563,1
2.498012937,0
2.498053562,1
2.498426375,0
2.498469875,1
2.499563687,0
2.499604000,1
2.500390687,0
2.500431938,1
2.500700875,0
2.500742938,1
2.501424688,0
2.501464250,1
2.501838188,0
2.501877625,1
2.502355062,0
2.502397063,1
2.502561875,0
2.502601875,1
2.542341375,0
2.542385250,1
2.544769250,0
2.544809000,1
2.544809063,0
2.544811250,1
2.544977375,0
2.545017188,1
2.545185437,0
2.545224812,1
2.545393375,0
2.545430562,1
2.545430625,0
2.545432063,1
2.545601375,0
2.545640500,1
2.545913313,0
2.545953313,1
2.546225250,0
2.546267000,1
2.546537312,0
2.546577563,1
2.546745313,0
2.546786688,1
2.547057250,0
2.547098750,1
2.547369375,0
2.547407563,1
2.547785437,0
2.547822562,1
2.548201188,0
2.548243750,1
2.549345063,0
2.549388250,1
2.549553313,0
2.549593000,1
2.549969125,0
2.550009938,1
2.572295750,0
2.572339125,1
2.574707688,0
2.574749875,1
2.574915813,0
2.574956563,1
2.575123875,0
2.575162812,1
2.575331812,0
2.575370375,1
2.575539813,0
2.575577813,1
2.575851750,0
2.575892937,1
2.576163625,0
2.576206000,1
2.576579875,0
2.576617812,1
2.577109500,0
2.577150625,1
2.577423375,0
2.577462875,1
2.577841938,0
2.577878875,1
2.578363187,0
2.578403125,1
2.578675937,0
2.578718063,1
2.578884750,0
2.578923375,1
2.579614813,0
2.579655875,1
2.579823750,0
2.579863250,1
2.580343937,0
2.580385563,1
2.580760437,0
2.580802563,1
2.581912500,0
2.581950688,1
2.582331187,0
2.582369938,1
2.582539937,0
2.582576813,1
2.622241187,0
2.622284688,1
2.624669063,0
2.624711813,1
2.624877188,0
2.624915688,1
2.625085187,0
2.625125062,1
2.625293250,0
2.625333813,1
2.625501250,0
2.625539750,1
2.625813062,0
2.625855750,1
2.626125062,0
2.626167125,1
2.626437062,0
2.626477562,1
2.626645187,0
2.626684062,1
2.626957125,0
2.626997563,1
2.627477250,0
2.627515063,1
2.627685188,0
2.627724063,1
2.628101062,0
2.628140688,1
2.629244813,0
2.629288312,1
2.629661000,0
2.629703188,1
2.629869063,0
2.629908562,1
2.652482313,0
2.652525125,1
2.654902187,0
2.654944125,1
2.655110250,0
2.655149312,1
2.655318312,0
2.655357500,1
2.655526313,0
2.655565000,1
2.655734250,0
2.655773187,1
2.656046187,0
2.656089062,1
2.656358125,0
2.656399313,1
2.656774313,0
2.656812562,1
2.657407688,0
2.657450312,1
2.657932437,0
2.657969313,1
2.658141562,0
2.658180188,1
2.658766313,0
